iter	RMSE
0	14.49690335
1	14.11775822
2	13.74876112
3	13.3845688
4	13.0473602
5	12.73293985
6	12.42706222
7	12.15897619
8	11.87367269
9	11.59267582
10	11.30727797
11	11.07350364
12	10.82072571
13	10.58337401
14	10.35443076
15	10.11256661
16	9.903847586
17	9.702983904
18	9.514881897
19	9.332522181
20	9.17777307
21	9.009593562
22	8.853845387
23	8.682838045
24	8.531723774
25	8.390818435
26	8.256139533
27	8.120350123
28	7.994380016
29	7.871198023
30	7.758874446
31	7.646971219
32	7.53869792
33	7.442761943
34	7.343296637
35	7.249523285
36	7.159780809
37	7.084970241
38	7.000136043
39	6.927340408
40	6.852775925
41	6.776166639
42	6.71340342
43	6.655725614
44	6.590738685
45	6.535610868
46	6.475502207
47	6.429312088
48	6.371949766
49	6.321064258
50	6.268682176
51	6.22568447
52	6.178775048
53	6.133823473
54	6.087259188
55	6.047376427
56	6.009859912
57	5.974964552
58	5.938060334
59	5.906475094
60	5.87862436
61	5.847758201
62	5.819216095
63	5.788250792
64	5.761361022
65	5.734820875
66	5.711754445
67	5.686327689
68	5.661197218
69	5.63464744
70	5.614453783
71	5.596317662
72	5.579759326
73	5.560402081
74	5.539961097
75	5.523078709
76	5.507196821
77	5.486425325
78	5.46809917
79	5.450353911
80	5.440558565
81	5.424362104
82	5.410513596
83	5.396770313
84	5.391076714
85	5.379257047
86	5.365938067
87	5.356033339
88	5.341254265
89	5.329830159
90	5.316717451
91	5.307145246
92	5.296255025
93	5.290187803
94	5.280120138
95	5.269927396
96	5.258906707
97	5.249370486
98	5.24574765
99	5.238622532
100	5.231053207
101	5.228403659
102	5.217323712
103	5.211061723
104	5.203152916
105	5.194612062
106	5.185583045
107	5.180972571
108	5.1735324
109	5.167157175
110	5.160755804
111	5.15398206
112	5.144998458
113	5.139308992
114	5.131350478
115	5.122794518
116	5.11562572
117	5.109755849
118	5.106561573
119	5.100860726
120	5.096389022
121	5.09017994
122	5.087968363
123	5.082342906
124	5.07698412
125	5.0698677
126	5.06537453
127	5.056276035
128	5.051544603
129	5.044417033
130	5.038361927
131	5.034279167
132	5.030142712
133	5.028168949
134	5.020354301
135	5.014484549
136	5.010068698
137	5.007375321
138	5.004168062
139	4.997035407
140	4.991211186
141	4.988080231
142	4.982924875
143	4.97724698
144	4.970413816
145	4.964874346
146	4.960572238
147	4.956654653
148	4.951877544
149	4.948404735
150	4.943033581
151	4.940202636
152	4.935500099
153	4.931729577
154	4.92933243
155	4.927114703
156	4.920324511
157	4.915916796
158	4.910671696
159	4.903951221
160	4.902506785
161	4.895976778
162	4.893198551
163	4.887914314
164	4.884944507
165	4.881907029
166	4.876831665
167	4.872406571
168	4.868040638
169	4.865708618
170	4.861645711
171	4.859632666
172	4.855568489
173	4.849096165
174	4.846195506
175	4.845217814
176	4.843970534
177	4.839060958
178	4.832971132
179	4.823668843
180	4.817039859
181	4.813011886
182	4.8100471
183	4.806393818
184	4.802607394
185	4.796913985
186	4.793486888
187	4.788060616
188	4.787569405
189	4.78469862
190	4.779614186
191	4.774606279
192	4.770396423
193	4.764912985
194	4.760767715
195	4.757324783
196	4.753954428
197	4.747819883
198	4.747171303
199	4.743084456
200	4.741375426
201	4.740161222
202	4.737298724
203	4.731754808
204	4.727066649
205	4.72183017
206	4.718719933
207	4.717111134
208	4.712718361
209	4.707009244
210	4.702096043
211	4.696445123
212	4.691817087
213	4.686331336
214	4.681772879
215	4.677004043
216	4.674098848
217	4.673122365
218	4.669024134
219	4.666252402
220	4.660346794
221	4.658263999
222	4.653132139
223	4.651661323
224	4.64871302
225	4.64316995
226	4.639853021
227	4.634697812
228	4.63382216
229	4.63022865
230	4.629546742
231	4.627594254
232	4.625165182
233	4.621817294
234	4.617039544
235	4.612121412
236	4.611235935
237	4.610581804
238	4.606122368
239	4.605660945
240	4.60310148
241	4.597687448
242	4.593931607
243	4.59159517
244	4.584559375
245	4.583657784
246	4.57858322
247	4.575077347
248	4.573992114
249	4.571736562
250	4.568918913
251	4.566786277
252	4.56339461
253	4.560129784
254	4.555899139
255	4.551090696
256	4.548016397
257	4.545251071
258	4.541881018
259	4.541443942
260	4.539217057
261	4.536555803
262	4.534793234
263	4.534066941
264	4.532712106
265	4.527582013
266	4.520802923
267	4.516611076
268	4.513436284
269	4.509061706
270	4.506365646
271	4.504227698
272	4.5034509
273	4.501514287
274	4.50077991
275	4.494243937
276	4.492532069
277	4.491707862
278	4.486771033
279	4.486093078
280	4.485732937
281	4.480329953
282	4.473635502
283	4.468511223
284	4.465756773
285	4.461406874
286	4.457984322
287	4.457491909
288	4.455368062
289	4.44935893
290	4.444915989
291	4.439333274
292	4.435246462
293	4.431779113
294	4.429034407
295	4.424949726
296	4.421351281
297	4.416689133
298	4.412200781
299	4.411630569
300	4.408197075
301	4.407716327
302	4.403825919
303	4.397973632
304	4.394870097
305	4.394534147
306	4.393989533
307	4.390418526
308	4.387294393
309	4.386852556
310	4.384939817
311	4.381150905
312	4.380882817
313	4.378285511
314	4.377982595
315	4.376437544
316	4.371691347
317	4.368182018
318	4.365957004
319	4.364055472
320	4.35904249
321	4.356987111
322	4.35318903
323	4.351496756
324	4.349078995
325	4.344234244
326	4.340971584
327	4.337024564
328	4.333156899
329	4.331002782
330	4.326661365
331	4.324749081
332	4.324436126
333	4.32198456
334	4.321465886
335	4.317742973
336	4.315785826
337	4.311544214
338	4.307763803
339	4.307497024
340	4.305578185
341	4.303551279
342	4.299360725
343	4.29561779
344	4.293262249
345	4.291023719
346	4.287363044
347	4.281727555
348	4.276072809
349	4.269371833
350	4.266141602
351	4.263086707
352	4.26280901
