iter	Passed	Remaining
0	48	48182
1	49	24560
2	50	16645
3	50	12689
4	51	10326
5	52	8736
6	53	7646
7	55	6891
8	57	6288
9	58	5755
10	59	5317
11	60	4997
12	61	4681
13	62	4405
14	63	4171
15	64	3962
16	65	3777
17	66	3612
18	66	3458
19	67	3321
20	68	3200
21	69	3091
22	70	2992
23	71	2898
24	72	2815
25	72	2732
26	73	2660
27	74	2589
28	75	2521
29	76	2459
30	76	2400
31	77	2344
32	78	2295
33	79	2246
34	79	2199
35	80	2155
36	81	2111
37	81	2069
38	82	2029
39	83	1992
40	83	1955
41	84	1920
42	84	1889
43	85	1857
44	86	1827
45	86	1798
46	87	1769
47	87	1741
48	88	1714
49	88	1689
50	89	1663
51	89	1638
52	90	1614
53	90	1591
54	91	1569
55	91	1547
56	92	1525
57	92	1505
58	93	1484
59	93	1464
60	93	1445
61	94	1427
62	94	1408
63	95	1390
64	95	1373
65	95	1357
66	96	1340
67	96	1323
68	96	1307
69	97	1292
70	97	1276
71	97	1262
72	98	1247
73	98	1234
74	99	1221
75	99	1208
76	99	1196
77	100	1183
78	100	1170
79	100	1158
80	100	1145
81	101	1134
82	101	1123
83	102	1113
84	102	1101
85	102	1090
86	103	1081
87	103	1074
88	104	1065
89	104	1057
90	105	1048
91	105	1041
92	106	1033
93	106	1025
94	106	1018
95	107	1011
96	107	1004
97	108	998
98	108	989
99	109	982
100	109	976
101	109	967
102	110	960
103	110	953
104	111	947
105	111	940
106	111	934
107	112	928
108	112	921
109	113	915
110	113	909
111	114	903
112	114	898
113	114	893
114	115	887
115	115	882
116	116	878
117	116	874
118	117	869
119	117	864
120	118	860
121	118	855
122	119	849
123	119	844
124	120	840
125	120	835
126	120	831
127	121	827
128	121	822
129	122	818
130	122	813
131	123	809
132	123	805
133	123	800
134	124	795
135	124	791
136	125	787
137	125	783
138	125	779
139	126	775
140	126	772
141	127	768
142	127	764
143	127	760
144	128	757
145	128	753
146	129	750
147	129	747
148	130	743
149	130	740
150	131	737
151	131	735
152	132	732
153	132	730
154	133	727
155	133	724
156	134	721
157	134	718
158	135	715
159	135	713
160	136	710
161	136	707
162	137	704
163	137	702
164	138	699
165	138	696
166	139	693
167	139	690
168	139	688
169	140	685
170	140	682
171	141	679
172	141	676
173	141	673
174	142	671
175	142	667
176	143	664
177	143	662
178	143	659
179	144	656
180	144	654
181	145	651
182	145	649
183	146	647
184	146	645
185	147	643
186	147	641
187	148	640
188	148	637
189	149	635
190	149	633
191	149	631
192	150	629
193	150	627
194	151	625
195	151	623
196	152	621
197	152	619
198	153	617
199	153	615
200	154	613
201	154	611
202	155	609
203	155	607
204	156	605
205	156	603
206	156	601
207	157	599
208	157	597
209	158	595
210	158	593
211	159	591
212	159	589
213	159	587
214	160	585
215	160	583
216	161	582
217	161	580
218	162	578
219	162	577
220	163	575
221	163	573
222	164	572
223	164	570
224	164	568
225	165	566
226	165	564
227	166	562
228	166	561
229	167	559
230	167	557
231	167	555
232	168	554
233	168	552
234	169	550
235	169	548
236	169	547
237	170	545
238	170	543
239	170	541
240	171	539
241	171	537
242	172	536
243	172	534
244	172	532
245	173	530
246	173	529
247	174	527
248	174	526
249	174	524
250	175	522
251	175	522
252	176	520
253	176	519
254	177	518
255	177	516
256	178	515
257	178	514
258	179	512
259	179	511
260	180	510
261	180	508
262	180	507
263	181	505
264	181	504
265	182	503
266	182	502
267	183	500
268	183	499
269	184	498
270	184	496
271	185	495
272	185	494
273	185	492
274	186	491
275	186	489
276	187	488
277	187	487
278	188	486
279	188	484
280	188	483
281	189	482
282	190	481
283	190	480
284	190	478
285	191	478
286	191	476
287	192	475
288	192	474
289	193	473
290	194	472
291	194	471
292	195	470
293	195	469
294	196	468
295	196	467
296	196	465
297	197	464
298	197	463
299	198	462
300	198	461
301	199	460
302	199	459
303	200	457
304	200	456
305	200	455
306	201	454
307	201	452
308	201	451
309	202	450
310	202	449
311	203	447
312	203	446
313	203	445
314	204	444
315	204	442
316	204	441
317	205	440
318	205	439
319	206	437
320	206	436
321	206	435
322	207	434
323	207	433
324	208	432
325	208	431
326	209	430
327	209	429
328	210	428
329	210	427
330	211	426
331	211	425
332	212	424
333	212	423
334	212	422
335	213	421
336	213	420
337	213	419
338	214	417
339	214	416
340	215	415
341	215	414
342	215	413
343	216	412
344	216	411
345	217	410
346	217	409
347	217	407
348	218	406
349	218	405
350	218	404
351	219	403
352	219	402
353	220	401
354	220	400
355	220	399
356	221	398
357	221	397
358	222	396
359	222	395
360	222	394
361	223	393
362	223	392
363	224	391
364	224	390
365	225	389
366	225	389
367	225	388
368	226	387
369	226	386
370	227	385
371	227	384
372	228	383
373	228	382
374	229	381
375	229	380
376	229	380
377	230	379
378	230	378
379	231	377
380	231	376
381	232	375
382	232	374
383	233	373
384	233	372
385	233	371
386	234	370
387	234	369
388	234	368
389	235	368
390	235	367
391	236	366
392	236	365
393	236	364
394	237	363
395	237	362
396	238	361
397	238	360
398	239	361
399	240	360
400	241	360
401	241	359
402	242	358
403	242	358
404	243	357
405	243	356
406	244	355
407	244	354
408	244	353
409	245	353
410	245	352
411	246	351
412	246	350
413	246	349
414	247	348
415	247	347
416	248	346
417	248	345
418	248	344
419	248	343
420	249	342
421	249	342
422	250	341
423	250	340
424	251	339
425	251	338
426	251	338
427	252	337
428	252	336
429	253	335
430	253	334
431	253	333
432	254	333
433	254	332
434	255	331
435	255	330
436	256	329
437	256	329
438	257	328
439	257	328
440	258	327
441	258	326
442	259	325
443	259	325
444	260	324
445	260	323
446	261	323
447	261	322
448	262	321
449	262	320
450	263	320
451	263	319
452	263	318
453	264	317
454	264	316
455	265	316
456	265	315
457	265	314
458	266	313
459	266	312
460	266	312
461	267	311
462	267	310
463	268	309
464	268	308
465	268	308
466	269	307
467	269	306
468	270	306
469	270	305
470	271	304
471	271	304
472	272	303
473	272	302
474	273	301
475	273	301
476	274	300
477	274	299
478	274	298
479	275	298
480	275	297
481	276	296
482	276	295
483	276	295
484	277	294
485	277	293
486	278	292
487	278	292
488	278	291
489	279	290
490	279	289
491	280	289
492	280	288
493	280	287
494	281	286
495	281	286
496	282	285
497	282	284
498	282	284
499	283	283
500	283	282
501	284	281
502	284	281
503	284	280
504	285	279
505	285	279
506	286	278
507	286	277
508	287	277
509	287	276
510	288	275
511	288	275
512	289	274
513	289	273
514	290	273
515	290	272
516	290	271
517	291	271
518	291	270
519	292	269
520	292	268
521	292	268
522	293	267
523	293	266
524	294	266
525	294	265
526	294	264
527	295	263
528	295	263
529	295	262
530	296	261
531	296	261
532	297	260
533	297	259
534	297	258
535	298	258
536	299	258
537	299	257
538	300	256
539	300	256
540	300	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	304	251
547	304	251
548	305	250
549	305	250
550	306	249
551	306	248
552	306	248
553	307	247
554	307	246
555	308	246
556	308	245
557	309	244
558	309	244
559	310	243
560	310	243
561	311	242
562	311	241
563	311	241
564	312	240
565	312	239
566	313	239
567	313	238
568	314	237
569	314	237
570	314	236
571	315	235
572	315	235
573	317	235
574	317	234
575	318	234
576	318	233
577	319	233
578	319	232
579	320	231
580	320	231
581	320	230
582	321	229
583	321	229
584	322	228
585	322	227
586	322	227
587	323	226
588	323	225
589	324	225
590	324	224
591	324	223
592	325	223
593	325	222
594	326	221
595	326	221
596	326	220
597	327	220
598	327	219
599	328	218
600	328	218
601	328	217
602	329	216
603	329	216
604	330	215
605	330	214
606	330	214
607	331	213
608	331	213
609	332	212
610	332	211
611	333	211
612	333	210
613	334	210
614	335	209
615	335	209
616	335	208
617	336	207
618	336	207
619	337	206
620	337	206
621	338	205
622	338	205
623	339	204
624	339	203
625	340	203
626	340	202
627	341	202
628	341	201
629	342	200
630	342	200
631	342	199
632	343	199
633	343	198
634	344	197
635	344	197
636	345	196
637	346	196
638	346	195
639	347	195
640	347	194
641	348	194
642	348	193
643	349	193
644	349	192
645	350	191
646	350	191
647	351	190
648	351	190
649	351	189
650	352	188
651	352	188
652	353	187
653	353	187
654	354	186
655	354	185
656	355	185
657	355	184
658	355	184
659	356	183
660	356	182
661	357	182
662	357	181
663	357	181
664	358	180
665	358	179
666	359	179
667	359	178
668	359	178
669	360	177
670	360	176
671	361	176
672	361	175
673	362	175
674	362	174
675	363	174
676	363	173
677	364	172
678	364	172
679	365	171
680	365	171
681	366	170
682	366	170
683	366	169
684	367	168
685	367	168
686	368	167
687	369	167
688	369	166
689	370	166
690	370	165
691	370	165
